,X1,DBA,Address,lon,lat
1,1,Artichoke Pizza,"111 Macdougal St, New York, NY 10012",-74.00075,40.729995
2,1,Creperie,"112 Macdougal St, New York, NY 10012",-74.00061,40.72959
3,2,The Kati Roll Company,"99 Macdougal St, New York, NY 10012",-74.0010291,40.7296283
4,3,Sophie's Cuban Cuisine,"96 Chambers St, New York, NY 10007",-74.0076338,40.7145967
5,4,Ecco,"124 Chambers St, New York, NY 10007",-74.0088274,40.715152
6,5,Bennie Thai Café,"88 Fulton St, New York, NY 10038",-74.005899,40.709189
7,6,The Tuck Room,"11 Fulton St, New York, NY 10038",-74.0031157,40.7066093
8,7,Burger King,"106 Fulton St, New York, NY 10038",-74.0070071,40.7097029
9,8,Irie Carribean Kitchen and Bakery,"126 Utica Ave, Brooklyn, NY 11213",-73.9308041,40.6746419
10,9,China Restaurant,"937 Utica Ave, Brooklyn, NY 11203",-73.9298992,40.6502705
11,10,Tocqueville,"1 E 15th St, New York, NY 10003",-73.9927131,40.7366772
12,11,Max Brenner Chocolate Bar,"841 Broadway, New York, NY 10003",-73.9912212,40.7343
13,12,Saravanaa Bhavan,"81 Lexington Ave, New York, NY 10016",-73.98307,40.74142
14,13,Dhaba,"108, 8927, Lexington Ave, New York, NY 10016",-73.9828882,40.7424019
15,14,Kailash Parbat,"99 Lexington Ave & E 27th St, New York, NY 10016",-73.9826923,40.7420798
16,15,Cold Stone Creamery,"241 W 42nd St, New York, NY 10036",-73.98866,40.75699
17,16,Chevys,"259 W 42nd St, New York, NY 10036",-73.98933,40.75721
18,17,Applebees Grill + Bar,"234 W 42nd St, New York, NY 10036",-73.98883,40.75643
19,18,Chipotle Mexican Grill,"1 MetroTech Center, Brooklyn, NY 11201",-73.98669,40.69327
20,19,Lantern Thai Kitchen,"101 Montague St, Brooklyn, NY 11201",-73.99547,40.6953
21,20,Stella 34 Trattoria,"151 W 34th St, New York, NY 10001",-73.9894835,40.7508025
22,21,Shake Shack - Herald Square,"1333 Broadway, New York, NY 10018",-73.9880074,40.7511379
23,22,Little Italy Pizza,"401 7th Ave, New York, NY 10001",-73.99104,40.7499
24,23,Delhi Heights,"37-66 74th Street, Jackson Heights, NY 11372",-73.8916109,40.7471124
25,24,Indian Taj,"37-25 74th Street, Jackson Heights, NY 11372",-73.8915698,40.7482262
