NAME,ADRESS1,ADDRESS2,ZIP,CITY,TEL,URL,Geometry X Y,Geometry
New York Historical Society,2 West 77th Street,,10024,New York,(212) 873-3400,https://www.nyhistory.org/web/,"40.7792735746, -73.9742575385","{""type"": ""Point"", ""coordinates"": [-73.97425753845441, 40.77927357460767]}"
Discovery Times Square Exposition,226 W 44th St,,1036,New York,(866) 987-9692,http://www.discoverytsx.com/nyc/,"40.7575014185, -73.9873186395","{""type"": ""Point"", ""coordinates"": [-73.98731863949307, 40.75750141851042]}"
New York Hall of Science,47-01 111th Street,,11368,Queens,(718) 699-0005,http://www.nysci.org/,"40.7471481203, -73.8516867961","{""type"": ""Point"", ""coordinates"": [-73.85168679608964, 40.74714812029652]}"
"The Freakatorium, El Museo Loco",57 Clinton St.,,10002,New York,(212) 375-0475,http://www.freakatorium.com/,"40.7196170612, -73.9850144887","{""type"": ""Point"", ""coordinates"": [-73.98501448872388, 40.719617061169714]}"
Mount Vernon Hotel Museum & Garden,421 East 61 Street,,10021,New York,(212) 838-6878,http://www.mvhm.org/,"40.7605261176, -73.9597108286","{""type"": ""Point"", ""coordinates"": [-73.95971082860422, 40.76052611763085]}"
National Lighthouse Museum,1 Lighthouse Plaza,,10301,Staten Island,(718) 556-1681,http://statenislandusa.com/pages/lighthouse.html,"40.6409493496, -74.0737371299","{""type"": ""Point"", ""coordinates"": [-74.07373712994531, 40.640949349582726]}"
Van Cortlandt House Museum,VAN CRTLANDT MANSION,Broadway at West 246th Street,10471,Bronx,(718) 543-3344,http://www.vancortlandthouse.org/,"40.8911115004, -73.8948225696","{""type"": ""Point"", ""coordinates"": [-73.89482256955048, 40.89111150035154]}"
American Academy of Arts and Letters,633 W. 155th St.,,10032,New York,(212) 368-5900,http://www.artsandletters.org/,"40.833853834, -73.9472976846","{""type"": ""Point"", ""coordinates"": [-73.94729768457962, 40.83385383400618]}"
Bronx Museum of the Arts (BXMA),1040 Grand Concourse,,10456,Bronx,(718) 681-6000,http://www.bronxmuseum.org/,"40.8310301136, -73.9197501763","{""type"": ""Point"", ""coordinates"": [-73.91975017634046, 40.83103011364028]}"
Paley Center For Media (formerly Museum Of Television & Radio),25 West 52 Street,,10019,New York,(212) 621-6800,http://www.paleycenter.org/,"40.7605739721, -73.9776016136","{""type"": ""Point"", ""coordinates"": [-73.97760161359206, 40.760573972106314]}"
Queens County Farm Museum,73-50 Little Neck Parkway,,11004,Queens,(718) 347-3276,http://www.queensfarm.org/,"40.7455699373, -73.7257366073","{""type"": ""Point"", ""coordinates"": [-73.72573660731798, 40.745569937346104]}"
Dia at the Hispanic Society,613 West 155th Street,,10032,New York,(845) 440-0100,http://www.diabeacon.org/,"40.8333024434, -73.9464931815","{""type"": ""Point"", ""coordinates"": [-73.94649318154194, 40.83330244338225]}"
LaGuardia and Wagner Archives,31-10 Thomson Ave.,Fiorello H. LaGuardia Community College/CUNY Room E-238,11101,Queens,(718) 482-5065,http://www.laguardiawagnerarchive.lagcc.cuny.edu/defaultc.htm,"40.7439604055, -73.93514568","{""type"": ""Point"", ""coordinates"": [-73.9351456800431, 40.74396040554387]}"
South Street Seaport Museum,12 Fulton Street,,10038,New York,(212) 748-8600,http://www.southstreetseaportmuseum.org/,"40.7066036913, -74.0037209403","{""type"": ""Point"", ""coordinates"": [-74.00372094028401, 40.706603691322506]}"
Bowne House,37-01 Bowne Street,,11354,Queens,(718) 359-0528,http://www.bownehouse.org/,"40.762886666, -73.8248904628","{""type"": ""Point"", ""coordinates"": [-73.82489046278742, 40.76288666595554]}"
Chelsea Art Museum,556 West 22nd Street,,10011,New York,(212) 255-0719,http://www.chelseaartmuseum.org/,"40.7478979349, -74.007315534","{""type"": ""Point"", ""coordinates"": [-74.00731553400236, 40.747897934885344]}"
Morgan Library and Museum,225 Madison Avenue,,10016,New York,(212) 685-0008,http://www.themorgan.org/home.asp,"40.749295405, -73.9813214855","{""type"": ""Point"", ""coordinates"": [-73.98132148549134, 40.74929540502308]}"
Museum of American Illustration,128 E. 63d St.,,10021,New York,(212) 838-2560,http://societyillustrators.org/museum/index.cms,"40.7647159552, -73.9669003096","{""type"": ""Point"", ""coordinates"": [-73.96690030959265, 40.76471595523882]}"
Museum of Contemporary African Diasporan Arts (MoCADA),80 Hanson Place,,11217,Brooklyn,(718) 230-0492,http://www.mocada.org/,"40.6852454772, -73.9744247764","{""type"": ""Point"", ""coordinates"": [-73.97442477644215, 40.6852454771804]}"
Wave Hill,West 249th Street & Independence Avenue,,10471,Bronx,(718) 549-3200,http://wavehill.org/visit/,"40.8978850483, -73.9116537657","{""type"": ""Point"", ""coordinates"": [-73.91165376565348, 40.897885048347355]}"
El Museo del Barrio,1230 Fifth Ave,,10029,New York,(212) 831-7272,http://www.elmuseo.org/,"40.7930992541, -73.9513676014","{""type"": ""Point"", ""coordinates"": [-73.95136760139879, 40.793099254062014]}"
Goethe-Institut New York,1014 Fifth Avenue,,10028,New York,(212) 439-8700,http://www.goethe.de/ins/us/ney/deindex.htm,"40.7791659744, -73.9617420391","{""type"": ""Point"", ""coordinates"": [-73.96174203914025, 40.77916597442676]}"
Museum of the Moving Image,35 Avenue at 36 Street,,11106,Queens,(718) 784-4520,http://www.movingimage.us/site/site.php,"40.7569448209, -73.924510173","{""type"": ""Point"", ""coordinates"": [-73.92451017304529, 40.756944820869904]}"
Asia Society,725 Park Avenue,,10021,New York,(212) 288-6400,http://www.asiasociety.org/,"40.7698341164, -73.9642839573","{""type"": ""Point"", ""coordinates"": [-73.96428395731807, 40.7698341164175]}"
Leo Baeck Institute,15 W. 16th St.,,10011,New York,(212) 744-6400,http://www.lbi.org/,"40.7380278755, -73.9937644934","{""type"": ""Point"", ""coordinates"": [-73.99376449344754, 40.73802787553724]}"
Queens Art Museum - Bulova Corporate Center,75-20 Astoria Blvd.,,11386,Jackson Heights,(516) 624-1910,http://www.bdg.net/properties/1/,"40.7646075888, -73.8931484548","{""type"": ""Point"", ""coordinates"": [-73.89314845478769, 40.76460758884513]}"
Alice Austen House Museum,2 Hylan Blvd,,10305,Staten Island,(718) 816-4506,http://www.aliceausten.org/,"40.6151211709, -74.0630317882","{""type"": ""Point"", ""coordinates"": [-74.06303178821886, 40.61512117086317]}"
Bronx Historical Society & Musem,3309 Bainbridge Ave,,10467,Bronx,(718) 881-8900,http://www.bronxhistoricalsociety.org/,"40.878236774, -73.8797487403","{""type"": ""Point"", ""coordinates"": [-73.87974874027033, 40.87823677401276]}"
Brooklyn Museum,200 Eastern Parkway,,11238,Brooklyn,(718) 638-5000,http://www.brooklynmuseum.org/,"40.6710835449, -73.9635850678","{""type"": ""Point"", ""coordinates"": [-73.96358506782803, 40.67108354485234]}"
East Village History Project,308 Bowery,,10012,New York,(212) 614-8702,http://leshp.org/,"40.7249600377, -73.9927230614","{""type"": ""Point"", ""coordinates"": [-73.99272306136817, 40.724960037723925]}"
Municipal Art Society,457 Madison Avenue,,10022,New York,(212) 935-3960,http://mas.org/,"40.7582486389, -73.9749998698","{""type"": ""Point"", ""coordinates"": [-73.9749998697511, 40.75824863892917]}"
The Jazz Museum in Harlem,104 E. 126th Street,Suite 2D,10035,New York,(212) 348-8300,http://www.jazzmuseuminharlem.org/,"40.8052767178, -73.9380587419","{""type"": ""Point"", ""coordinates"": [-73.93805874185755, 40.80527671780007]}"
Jacques Marchais Center Museum of Tibetan Art,338 Lighthouse Avenue,,10306,Staten Island,(718) 987-3500,http://www.tibetanmuseum.org/,"40.5763131685, -74.1381233657","{""type"": ""Point"", ""coordinates"": [-74.13812336572592, 40.57631316850206]}"
School of Visual Arts Museum,209 E. 23rd St.,,10010,New York,(212) 592-2145,http://www.schoolofvisualarts.edu/sa/index.jsp?sid0=201&page_id=482&event_id=865,"40.7387595242, -73.9822423257","{""type"": ""Point"", ""coordinates"": [-73.9822423257005, 40.73875952420823]}"
Audubon Terrace,Broadway at 155 Street,,10032,New York,,http://www.washington-heights.us/history/archives/audubon_terrace_museum_group_102.html,"40.8335826156, -73.9465459041","{""type"": ""Point"", ""coordinates"": [-73.94654590409341, 40.83358261557155]}"
Lee Young Hee Museum of Korean Culture,2 West 32nd Street,Suite 301,10001,New York,(212) 560-0722,http://www.lyhkm.org/,"40.747197428, -73.9861883304","{""type"": ""Point"", ""coordinates"": [-73.98618833037814, 40.74719742797433]}"
Dahesh Museum,580 Madison Avenue,,10022,New York,(212) 759-0606,http://www.daheshmuseum.org,"40.7621073061, -73.9730419015","{""type"": ""Point"", ""coordinates"": [-73.97304190152968, 40.76210730612986]}"
Museum for African Art,36-01 43rd Avenue,3rd Floor,11101,Queens,(718) 784-7700,http://www.africanart.org/,"40.7463420716, -73.9282239104","{""type"": ""Point"", ""coordinates"": [-73.92822391044865, 40.74634207163369]}"
Tenement Museum,108 Orchard Street,,10002,New York,(212) 431-0233,http://www.tenement.org/,"40.7186880312, -73.9896790483","{""type"": ""Point"", ""coordinates"": [-73.98967904826112, 40.71868803116817]}"
Frick Collection,1 E. 70th Street,,10021,New York,(212) 288-0700,http://www.frick.org/,"40.771054987, -73.9670804059","{""type"": ""Point"", ""coordinates"": [-73.96708040590582, 40.77105498696251]}"
Gracie Mansion,89th Street at East End Avenue,Carl Schurz Park,10128,New York,(212)-570-4751,http://www.nyc.gov/html/om/html/gracie.html,"40.7761137833, -73.9430684628","{""type"": ""Point"", ""coordinates"": [-73.94306846281332, 40.77611378333488]}"
King Manor Museum,152-01 Jamaica Avenue,,11432,Queens,(718) 206-0545,http://www.kingmanor.org/,"40.703042352, -73.8037606199","{""type"": ""Point"", ""coordinates"": [-73.80376061987825, 40.70304235195897]}"
Museum of the City of New York,1220 Fifth Avenue,,10029,New York,(212) 534-1672,http://www.mcny.org,"40.7925093681, -73.9519169742","{""type"": ""Point"", ""coordinates"": [-73.9519169742138, 40.792509368057445]}"
Seguine Mansion,440 Seguine Avenue,,10307,Staten Island,(718) 667-6042,http://www.historichousetrust.org/item.php?i_id=38,"40.5152146772, -74.1975892999","{""type"": ""Point"", ""coordinates"": [-74.19758929987562, 40.515214677212086]}"
